row ID,row m/z,row retention time,SampleB3.mzML Peak area,SampleB4.mzML Peak area,SampleB5.mzML Peak area,SampleB2.mzML Peak area,SampleB1.mzML Peak area,Blank_reg.mzML Peak area,
64,246.0772324,1.512415711,3.77E+07,3.38E+07,0,2.76E+07,3.01E+07,0,
65,227.0748215,1.643069628,4.51E+07,3.54E+07,1.20E+08,2.97E+07,8.24E+07,0,
66,264.0699844,1.147134296,3.66E+07,3.22E+07,598363.4526,2.74E+07,0,0,
67,229.1347549,5.233581677,4.66E+07,5.40E+07,393243.1313,6.04E+07,5.38E+07,0,
68,206.0822716,4.886450964,5.61E+07,3.97E+07,0,4.42E+07,3.68E+07,0,
69,475.1841736,1.479971973,5.34E+07,3.66E+07,0,2.72E+07,2.43E+07,0,
70,449.1497223,1.129835695,2.81E+07,2.30E+07,2.77E+08,4.79E+07,1.43E+08,0,
71,493.2050873,1.302434502,2.78E+07,1.75E+07,7486462.367,1.22E+07,2.43E+07,0,
72,757.2522736,5.108483854,1.06E+08,8.50E+07,0,1.19E+08,2.95E+08,0,
73,203.0020065,1.309317459,2.50E+07,2.84E+07,6.00E+08,1.72E+07,1.16E+07,0,
74,283.082428,3.953256967,5.60E+07,6.14E+07,0,4.70E+07,3.10E+07,0,
75,543.1330795,1.460552319,4.16E+07,2.65E+07,0,1.86E+07,1.78E+07,0,
76,204.9132751,12.46471695,6.64E+07,2.03E+07,3.76E+07,7.17E+07,6.48E+07,0,
77,280.1038513,6.664580712,2.70E+07,4.13E+07,3350076.811,4.61E+07,4.19E+07,0,
78,844.7203857,12.11164895,4.47E+07,3.66E+07,4.55E+07,5.86E+07,7.17E+07,0,
79,132.8679606,1.318064936,1.11E+08,8.46E+07,6.32E+07,0,0,0,
80,531.2053757,1.354840276,2.40E+07,8735943.531,0,6042235.529,2.54E+07,0,
81,553.131897,1.223033521,1.22E+07,1.42E+07,0,4381563.659,0,0,
82,575.1051636,1.449752222,3.47E+07,1.72E+07,0,1.23E+07,1.02E+07,0,
83,367.104744,6.980731296,5.83E+07,0,5.66E+07,5.57E+07,3.87E+07,0,
84,297.1531474,1.052940553,2.60E+07,2.53E+07,3.49E+07,0,0,0,
85,951.5754929,1.272998798,2.19E+07,8704069.216,0,1.22E+07,1.47E+07,0,
86,908.7057617,12.09786097,5.17E+07,4.12E+07,5.00E+07,6.71E+07,8.35E+07,0,
87,204.0433248,2.73108407,5.27E+07,0,0,6.33E+07,4.12E+07,0,
88,339.199585,1.038582117,3.84E+07,0,3.26E+07,0,0,0,
89,227.2017415,1.347484071,4.35E+07,0,0,2.17E+07,6.27E+07,0,
90,244.9057922,12.43243447,6.07E+07,1.81E+07,3.15E+07,7.39E+07,7.30E+07,0,
91,378.0957916,6.337091906,4.17E+07,7.62E+07,1408107.638,4.91E+07,2.48E+07,0,
92,282.1348206,4.877142123,3.48E+07,2.55E+07,1546713.418,2.69E+07,2.22E+07,0,
93,400.3065582,1.319636445,2.18E+07,4.00E+07,2.60E+07,2.48E+07,2.85E+07,0,
94,153.0194073,1.26007771,1.21E+07,1.01E+07,0,6916560.119,8880516.949,0,
95,244.9656845,1.250768079,1.45E+07,1.41E+07,6.61E+07,1.12E+07,1.08E+07,0,
96,138.9415939,12.46472701,4.82E+07,1.58E+07,3.12E+07,4.46E+07,3.59E+07,0,
97,551.2657043,1.273148039,1.96E+07,1.42E+07,1.90E+07,7624494.206,2.36E+07,0,
98,877.7066711,12.0995826,3.61E+07,2.81E+07,3.89E+07,4.83E+07,5.90E+07,0,
99,298.8862396,6.278278199,3.09E+07,3.46E+07,3.88E+07,2.54E+07,2623116.469,0,
100,347.1608391,1.117471709,1.68E+07,1.95E+07,0,1.50E+07,1.15E+07,0,
101,659.5461731,1.331679012,1.46E+07,1.86E+07,2.09E+07,1.07E+07,6563310.08,0,
102,210.071373,1.363258376,1.32E+07,0,0,0,1.35E+07,0,
103,132.8679504,5.035073627,7.21E+07,7.73E+07,0,0,0,0,
104,301.1075134,2.061438521,3.37E+07,2.38E+07,0,2.65E+07,1.47E+07,0,
105,687.5777771,1.326515609,1.51E+07,2.80E+07,2.39E+07,1.85E+07,6086950.917,0,
106,579.8105087,12.1192143,3.36E+07,2.46E+07,0,4.68E+07,0,3.90E+08,
107,530.3021545,1.988956364,3.58E+07,3.93E+07,0,1.89E+07,1.72E+07,0,
108,355.0730057,4.635160481,2.77E+07,3.42E+07,0,3.56E+07,5.22E+07,0,
109,303.9210144,6.841394555,3.86E+07,4.59E+07,502255.4732,3.52E+07,4790569.898,0,
110,194.0769882,1.324796329,2.49E+07,1.91E+07,1.51E+07,1.15E+07,2.83E+07,0,
111,330.1139282,4.910034122,2.83E+07,2.22E+07,713065.6283,4.92E+07,2.87E+07,0,
112,421.3086456,1.317916079,1.49E+07,3.14E+07,7442546.44,3.73E+07,1.23E+07,0,
113,248.150325,4.897894782,2.90E+07,2.02E+07,561737.8853,2.14E+07,1.88E+07,0,
114,361.0643311,1.855322481,3.61E+07,2.72E+07,0,2.18E+07,1.76E+07,0,
115,558.3339722,1.874345936,3.17E+07,3.73E+07,2.68E+08,1.93E+07,1.05E+07,0,
116,714.301239,1.268728668,1.96E+07,2.76E+07,0,3.81E+07,5.54E+07,0,
117,134.8653361,1.32064826,8.70E+07,6.55E+07,0,1.61E+08,0,0,
118,112.9857018,1.483579902,1.37E+08,1.22E+08,1.37E+08,1.38E+08,1.45E+08,0,
119,158.0822868,5.678858318,2.60E+07,2.74E+07,0,2.08E+07,1.17E+07,0,
120,250.0253372,2.125951586,1.90E+07,1.82E+07,4.89E+07,1.54E+07,2.49E+07,0,
121,254.0801636,4.271343292,3.08E+07,3.50E+07,5949221.822,4.46E+07,2.35E+07,0,
122,167.0437958,7.134371319,2.16E+07,3.65E+07,7613456.268,4.69E+07,5.98E+07,0,
123,158.0459309,3.580203072,3.32E+07,3.02E+07,0,2.21E+07,2.11E+07,0,
124,358.0503769,5.585153643,1.70E+07,3.58E+07,6524814.559,1.43E+07,0,0,
125,182.9886424,1.134036386,6.78E+07,0,1.20E+08,6.73E+07,0,0,
